domanda,rispostaA,rispostaB,rispostaC,corretta
,. chi si fa dare o promettere interessi o altri vantaggi usurari,. chi si fa promettere interessi o altri vantaggi usurari,. chi si fa dare interessi o altri vantaggi usurari,A
,. Il mediatore,. Il rinforzatore,. Il produttore,A
,. Chiunque,. Pubblico ufficiale,. Incaricato di pubblico servizio,A
,. Denaro,". Denaro, cosa mobile altrui",. Cosa mobile altrui,B
,. L’identità del proprietario della cosa,. L’ignoranza della provenienza,. Il possesso della cosa da parte dell’agente,C
"Domanda 229 – Per il delitto di appropriazione indebita, è consentito il fermo ai sensi dell’art. 384, c.p.p.?",. No,. Sì,. Dipende dal valore dell’oggetto materiale,A
,. A discrezione del giudice,. Obbligatorio,. Facoltativo,C
Domanda 231 - Il delitto di estorsione è un reato comune?,. Sì,. No,. Solo se il soggetto attivo è ultrasessantacinquenne,B
,. Un inganno tramite artifizi e raggiri che conduce all'errore,. Costringere tramite violenza,. Costringere tramite violenza o minaccia,C
Domanda 233 - Qual è l'elemento soggettivo del reato di estorsione?,. Il dolo,. La colpa,. La preterintenzione,A
,. Facoltativo solo se l'autore del fatto è un cittadino dell'Unione Europea,. Obbligatorio ex art. 380 c.p.p.,". Facoltativo, ex art. 381 c.p.p.",B
,. D'ufficio,. A querela di parte,. A querela di parte se non vi sono aggravanti,A
,. semi offensivo,. Pluri offensivo,. Mono offensivo,B
Domanda 237 - Il delitto di truffa è un reato proprio?,. No,. Sì,. Può essere sia proprio che comune,B
,. di un ente pubblico,. dello Stato,. dello Stato o di un altro ente pubblico o dell’Unione Europea,C
"Domanda 239 - Per il caso di truffa, è consentito il fermo ai sensi dell'art. 384, c.p.p.?",. No,. Sì,. A discrezione dell'Autorità Giudiziaria,A
,. D'ufficio,. A querela di parte,". A querela di parte, salvo ipotesi di cui al comma 3 dell’art. 640 C.P., nonché ipotesi di cui all’art. 649 bis",C
Domanda 241 – A quale categoria appartengono i maltrattamenti in famiglia?,. Reati contro la persona,. Reati contro la famiglia,. Reati contro l’ordine pubblico,B
Domanda 242 – Un singolo episodio di violenza domestica può configurare il reato di maltrattamenti?,". Sì, purché causi uno stato di malattia nel soggetto passivo",". No, servono condotte abituali che causino sofferenze fisiche e/o mentali",. Sì,B
"Domanda 243 – In quali tipologie di rapporto, tra autore e vittima, si inseriscono le condotte previste dall’articolo 572 del codice penale?",. Di semplice conoscenza,. Di amicizia,". Di familiarità o di sottoposizione all’autorità o all’affidamento per ragioni di educazione, cura, vigilanza o custodia",C
Domanda 244 – È applicabile l’art. 572 c.p. all’interno delle cosiddette “famiglie di fatto”?,. Sì,". No, tranne nel caso in cui i componenti del nucleo siano dello stesso sesso",". No, mai",A
,. Solo omissiva,. Solo attiva,". Attiva e, in particolari casi, anche omissiva",C
Domanda 246 – È prevista una ipotesi colposa per il reato di maltrattamenti in famiglia?,. No,". Sì, ma solo se la vittima è un minore degli anni 14",. Sì,A
,. Può essere disposto dal giudice per le indagini preliminari su richiesta del pubblico ministero in caso di pericolo di reiterazione di gravi reati,". Può essere disposto, unitamente al divieto di avvicinamento ai luoghi abitualmente frequentati dalla persona offesa, da ufficiali e agenti di polizia giudiziaria nella flagranza di reati specifici, tra cui il reato di maltrattamenti contro familiari e conviventi",. Può essere disposto unitamente al divieto di avvicinamento ai luoghi abitualmente frequentati dalla persona offesa da ufficiali di polizia giudiziaria nella flagranza di reati specifici tra cui il reato di maltrattamenti contro familiari e conviventi,B
,. Entrambi dolosi,. Il primo doloso e il secondo preterintenzionale,. Il primo colposo e il secondo doloso,A
,. Sempre a querela,. Sempre d’ufficio,". A querela per le ipotesi semplici, d’ufficio per quelle aggravate",B
Domanda 250 – Si procede all’arresto per il reato in argomento?,". No, a meno che la vittima sia minorenne",". No, mai",". Sì, è obbligatorio",C
,sono tutti Ufficiali di p.g.,sono tutti Agenti di p.g.,non hanno funzioni di p.g. ma solo di Polizia Tributaria,
,"in alcune circostanze è Agente, in altre è Ufficiale di P.G.",un Agente di P.G.,un Ufficiale di P.G.,
,solo agli Agenti di p.g.,solo agli Ufficiali di p.g.,sia agli Ufficiali che agli Agenti di p.g.,
Domanda 254 Che cosa sono i Servizi di Polizia Giudiziaria?,Sono uffici presenti presso le Procure,Sono Uffici a cui sono assegnati solo Ufficiali di p.g. per svolgere l’attività di polizia giudiziaria,"Sono Uffici ed Unità ai quali è affidato il compito di svolgere, in via prioritaria e continuativa, le funzioni di polizia giudiziaria",
,con una sanzione penale,solo con una sanzione disciplinare,con il trasferimento ad un servizio che non preveda lo svolgimento di attività,
,mai,sempre,"solo se nel suo comune non c’è un Ufficio di Polizia, Carabinieri o Guardia di Finanza",
Domanda 257 Da chi dipende funzionalmente la Polizia Giudiziaria?,Dal P.M.,Dal Questore,Dal Ministro di Grazia e Giustizia,
,la Questura,la Procura della Repubblica presso il Tribunale,la Procura Generale della Repubblica presso la Corte d’Appello,
,svolge funzioni di p.g. solo se riceve un apposito incarico da parte del P.M.,un Agente di p.g. a competenza generale,un Agente di p.g. a competenza limitata,
,"prendere notizia dei reati, ricercarne gli autori, compiere gli atti necessari ad assicurare le fonti di prova",solo ricercare gli autori del reato,solo prendere notizia dei reati,
,. solo su richiesta della persona offesa,. obbligatoriamente,. facoltativamente,B
,. solo nella fase delle indagini preliminari,. solo nella fase del dibattimento,. prevalentemente nella fase delle indagini preliminari,C
,. atti investigativi tipici,. atti investigativi tipici ed atipici,. atti investigativi atipici,B
,. alla ricerca del latitante,". ad individuare ed assicurare le fonti di prova per permettere al Pubblico Ministero, sulla base degli elementi raccolti, di decidere se esercitare o meno l’azione penale",. alla ricerca dell’imputato,B
,. è consentita,. è vietata,. deve essere preventivamente autorizzata dal G.I.P. su richiesta della stessa P.G.,A
,. non deve contrastare con le direttive impartite dal P.M. e deve essere caratterizzato dalla necessità e dall’urgenza,. può contrastare con le direttive impartite dal P.M. ma deve essere caratterizzato dalla necessità e dall’urgenza,. può contrastare con le direttive impartite dal P.M. e non è necessario che sia caratterizzato dalla necessità e dall’urgenza,A
Domanda 267 Il Pubblico Ministero può espressamente vietare alla Polizia Giudiziaria di compiere determinati atti?,. dipende dalla fase processuale in cui deve essere eseguito l’atto,. no,. sì,C
"Domanda 268 Quando la Polizia Giudiziaria esegue indagini d’iniziativa dopo che il Pubblico Ministero ha assunto la direzione delle indagini, ha l’obbligo di informare il Pubblico Ministero?",. no,. dipende dalla fase processuale in cui deve essere eseguito l’atto,. sì,C
Domanda 269 L’autorità Giudiziaria può delegare alla P.G. qualsiasi tipo di atto?,. sì,. no,. dipende dalla fase processuale in cui deve essere eseguito l’atto,B
,. solo penalmente,. penalmente e disciplinarmente,. solo disciplinarmente,B
Domanda 271 Che cosa significa documentare l’attività di polizia giudiziaria?,. annotare e registrare tutte le attività di indagine svolte dalla Polizia Giudiziaria,. riportare su supporto informatico gli elementi di indagine raccolti ad eccezione delle fonti di prova,. trasferire su file audio le registrazioni di intercettazioni telefoniche,A
"Domanda 272 A chi è destinata, in via prioritaria, la documentazione dell’attività di polizia giudiziaria?",. al Tribunale in composizione collegiale,. ai difensori della parte offesa,. al Pubblico Ministero titolare dell’indagine,C
Domanda 273 Che utilizzabilità processuale ha la relazione di servizio quando contiene notizie di reato o documenta attività di indagine?,. fa piena fede fino a prova contraria,. ha unicamente rilevanza interna e dunque non ha rilievo processuale,. è inserita nel fascicolo del P.M. e ne è data lettura in dibattimento in caso di contestazioni,C
Domanda 274 La perquisizione è un atto ripetibile?,. è un atto atipico,. sì,. no,C
Domanda 275 Quali sono le differenze tra annotazione e relazione di servizio?,". a differenza della relazione di servizio, l’annotazione costituisce piena prova essendo atto a fede privilegiata",". non vi sono differenze, provenendo entrambi gli atti dalla Polizia Giudiziaria",. la relazione di servizio è prevalentemente un atto interno e si rivolge al dirigente dell’ufficio; l’annotazione è atto esterno ed è rivolta all’Autorità Giudiziaria,C
Domanda 276 L’interrogatorio delegato dell’indagato in stato di libertà può essere reso mediante annotazione?,". no, deve essere reso mediante verbale",. solo se videoregistrato,. sì,A
Domanda 277 L’annotazione ed il verbale hanno la stessa efficacia processuale?,. solo l’annotazione è atto a fede privilegiata e costituisce piena prova fino a querela di falso,". sì, hanno la stessa efficacia processuale",. solo il verbale è atto a fede privilegiata e costituisce piena prova fino a querela di falso,C
,. il titolare dell’azione penale,. l’esecutore materiale degli atti di Polizia Giudiziaria,". il dominus dell’indagine, che tuttavia non può conoscere se non previa autorizzazione del giudice",A
,. possono essere replicate senza alterarne il contenuto,. possono essere replicate ma se ne altera il contenuto,. non possono essere replicate,A
,. discrezionale o vincolata,. di iniziativa o delegata,. procedurale o sostanziale,B
,. Solo di propria iniziativa,. Anche di propria iniziativa,. Non di propria iniziativa,B
,. Non qualificata e tipica,. Qualificata o non qualificata,". Qualificata, tempestiva ed esaustiva",B
,. i referti,. i reati procedibili a querela,. i reati procedibili d’ufficio,C
Domanda 284 Le Forze dell'Ordine sono pubblici ufficiali?,". No, sono incaricati di pubblico servizio",. Sì,". No, sono esercenti un servizio di pubblica necessità",B
Domanda 285 La denuncia è revocabile?,. è revocabile quando è soggetta a condizione di procedibilità,. sì,. no,C
,. È sottoposto al vaglio del P.M.,. Non è obbligatorio,. È obbligatorio,B
,. Sempre di tre mesi,". Tre, sei o dodici mesi a seconda dei reati",. Termine non soggetto a condizioni,B
,. Una condizione di procedibilità e un atto informativo,. Una istanza del P.M. per l’esercizio dell’azione penale,. La domanda di punizione di un delitto commesso in Italia,A
,. Possono essere replicate ma se ne altera il contenuto,. Non possono essere replicate,. Possono essere replicate senza alterarne il contenuto,C
,. Dal primo atto di indagine cui ha diritto di assistere il difensore,. Dall’iscrizione nel registro delle notizie di reato,. Dall’imputazione,B
,. solo ufficiali di pubblica sicurezza,. sempre autorità locali di pubblica sicurezza,. autorità locali di pubblica sicurezza nei comuni privi di ufficio distaccato di polizia,C
,. Autorità centrale di pubblica sicurezza,. Autorità nazionale di pubblica sicurezza,. Autorità statale di ordine pubblico,B
Domanda 293 L’Autorità di pubblica sicurezza,. veglia al mantenimento dell’ordine pubblico e della sicurezza complementare,. veglia al mantenimento dell’ordine pubblico e alla sicurezza dei cittadini,. veglia al mantenimento dell’ordine pubblico e della sicurezza urbana,B
Domanda 294 I prefetti sono Autorità provinciali di pubblica sicurezza,. a livello pianificatorio e di impiego delle forze di polizia,. a livello politico-generale,. a livello tecnico-operativo,B
,. i questori dei capoluoghi di regione,. i prefetti dei capoluoghi di regione,. i prefetti dei capoluoghi di provincia,B
,. preposto al dipartimento della pubblica sicurezza,. autorità centrale di pubblica sicurezza,. autorità nazionale di pubblica sicurezza,A
,. bene pubblico afferente all’ordine pubblico,. bene pubblico afferente alla sicurezza regionale,. bene pubblico che afferisce alla vivibilità ed al decoro delle città,C
,. all’attuazione materiale dei provvedimenti del Ministro dell’Interno,. all’attuazione della politica in materia di ordine pubblico e sicurezza pubblica,. all’attuazione della politica in materia di sicurezza urbana,B
,. organo ausiliario di amministrazione attiva del dipartimento di pubblica sicurezza,. organo ausiliario di consulenza del Ministro dell’Interno,. organo straordinario di pubblica sicurezza,B
,. autorità di pubblica sicurezza in materia di polizia tributaria,. ufficiali di pubblica sicurezza,. agenti di pubblica sicurezza,C
